6	1961
13	377
14	86
14	575
18	364
18	1956
20	341
22	80
22	116
22	140
29	1224
34	73
38	711
47	2152
48	1066
55	1178
57	147
75	1556
76	977
77	78
78	77
80	22
84	2235
86	14
86	1887
93	561
93	965
97	193
97	266
109	1001
112	770
115	482
116	22
121	1169
122	1665
132	288
132	605
132	776
132	930
132	1556
135	966
137	673
137	761
137	1042
139	57
139	147
140	22
144	1640
147	57
147	139
156	2274
157	860
176	1591
176	1625
179	1107
183	1252
183	1715
185	438
185	523
185	1531
188	2148
193	1447
195	900
196	940
197	606
197	1733
201	1960
202	1522
203	449
203	1181
207	371
207	420
208	1873
209	1649
209	1996
209	2006
212	838
212	1278
213	2210
219	2134
222	977
225	352
229	230
229	2291
231	431
231	1107
231	1388
231	2141
233	628
244	1398
253	1280
261	372
266	1098
268	1628
272	274
272	595
273	1715
274	595
281	549
282	302
283	779
288	776
288	1556
299	496
302	282
307	491
317	701
320	2299
322	2179
327	519
330	1963
331	767
331	1316
333	1760
336	1023
337	1014
337	1115
337	1260
339	374
339	583
339	2310
341	20
348	949
352	225
355	1343
357	702
362	376
363	1870
364	18
364	648
367	1123
369	918
371	207
371	420
372	261
372	1044
374	583
374	2310
376	362
377	13
393	439
393	1256
394	926
397	652
419	623
420	207
420	371
422	1370
427	1211
431	538
431	1345
431	1388
431	1793
434	1576
434	1586
436	1227
438	523
438	2205
439	393
441	2237
443	694
443	1582
443	1598
444	2239
449	203
453	830
456	10
456	1989
471	26
475	1357
475	1538
478	2316
479	861
480	1577
480	1612
480	1908
482	115
489	712
491	307
492	1703
496	299
500	961
501	945
501	954
503	504
504	503
505	1490
505	2252
509	211
509	940
514	1063
515	1638
519	327
522	925
523	185
524	567
524	1186
525	1693
532	1186
532	2158
538	1345
546	479
547	2291
548	114
549	281
550	1094
559	1116
561	93
566	751
575	1887
581	1680
583	339
583	374
583	2310
592	1982
595	274
597	1921
598	1950
600	787
600	1367
602	1629
605	132
605	288
605	776
605	1556
606	197
606	669
607	398
611	1024
618	660
620	2044
621	2106
622	726
623	419
628	187
628	233
634	1228
635	2210
637	231
637	431
639	715
642	643
643	642
648	364
648	1755
656	2299
660	618
661	122
661	1665
669	606
671	856
671	1164
671	1435
673	137
673	761
673	1042
681	697
681	960
681	1253
681	1683
685	1719
696	575
697	681
697	960
697	1253
697	1684
701	317
701	1706
702	357
702	1834
703	1319
706	1345
711	38
711	998
712	489
715	639
718	336
721	1246
721	2143
726	1274
727	1958
738	2176
743	687
744	810
744	1204
745	837
747	949
750	1647
750	1965
751	566
755	1318
755	1594
761	137
761	673
764	869
766	1823
768	1366
769	321
770	112
772	412
776	132
776	288
779	283
782	324
786	788
786	790
787	600
788	786
788	790
788	1030
790	524
799	1428
803	782
806	492
810	744
811	1344
811	1726
820	856
822	884
825	793
825	1982
830	453
830	1889
838	212
839	1138
841	882
846	1599
847	2309
848	336
848	1023
853	854
854	853
854	1070
856	671
856	820
856	1435
860	157
860	870
860	1114
860	2058
861	479
865	2171
869	764
870	860
